,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,origF,var_threshold,origS,XGB_orig,0.62464539007092201,0.15406870998358568,"{'reg_alpha': 1, 'colsample_bytree': 0.5, 'learning_rate': 0.2, 'nthread': 1, 'n_estimators': 50, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.63233333333333341,0.14288340234844168,"[ 0.63333333  0.96        0.68        0.6         0.6         0.65        0.4
  0.45        0.65        0.7       ]"
1,UCLAsource,binar,origN,low200,var_threshold,origS,XGB_200,0.59113475177304975,0.1580073562577318,"{'reg_alpha': 0, 'colsample_bytree': 0.5, 'learning_rate': 0.2, 'nthread': 1, 'n_estimators': 10, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 7}",0.66400000000000003,0.20509509989270833,[ 0.5   0.64  1.    0.85  0.5   0.85  0.6   0.85  0.55  0.3 ]
