,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,origF,var_threshold,origS,XGB_orig,0.62464539007092201,0.15406870998358568,"{'reg_alpha': 1, 'colsample_bytree': 0.5, 'learning_rate': 0.2, 'nthread': 1, 'n_estimators': 50, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 3}",0.70600000000000007,0.15467385040788245,[ 0.8   1.    0.56  0.65  0.9   0.6   0.7   0.45  0.65  0.75]
1,UCLAsource,binar,origN,low200,var_threshold,origS,XGB_200,0.59113475177304975,0.1580073562577318,"{'reg_alpha': 0, 'colsample_bytree': 0.5, 'learning_rate': 0.2, 'nthread': 1, 'n_estimators': 10, 'subsample': 1, 'reg_lambda': 1, 'max_depth': 7}",0.60833333333333339,0.21515498289992416,"[ 0.63333333  0.4         1.          0.25        0.5         0.75        0.65
  0.65        0.85        0.4       ]"
