,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,binar,origN,origF,var_threshold,minmax,SVC_orig,0.57074468085106378,0.18086811559162136,"{'kernel': 'linear', 'C': 0.001, 'max_iter': 100, 'degree': 2}",0.55799999999999994,0.21018087448671441,[ 0.6   0.48  0.8   0.25  0.95  0.35  0.75  0.35  0.5   0.55]
1,UCLAsource,binar,origN,low250,var_threshold,minmax,SVC_250,0.53971631205673765,0.17446822925670111,"{'kernel': 'poly', 'C': 0.1, 'max_iter': 50, 'degree': 4}",0.43833333333333335,0.2094556436734677,"[ 0.43333333  0.32        0.68        0.3         0.65        0.55        0.2
  0.8         0.3         0.15      ]"
2,UCLAsource,binar,origN,low260,var_threshold,minmax,SVC_260,0.6388297872340426,0.20937524281588318,"{'kernel': 'linear', 'C': 0.3, 'max_iter': 100, 'degree': 2}",0.68133333333333335,0.21718502096906531,"[ 0.83333333  0.4         0.88        0.85        0.75        0.75        0.7
  0.15        0.75        0.75      ]"
3,UCLAsource,binar,origN,low263,var_threshold,minmax,SVC_263,0.5941489361702128,0.26016120033249146,"{'kernel': 'poly', 'C': 0.1, 'max_iter': 50, 'degree': 3}",0.53166666666666673,0.20986900676374301,"[ 0.36666667  0.36        0.84        0.3         0.75        0.6         0.25
  0.65        0.4         0.8       ]"
