,Data,Weighters,Normalizers,Featurizers,Selectors,Scalers,Classifiers,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,UCLAsource,origW,origN,origF,var_threshold,minmax,SVC_orig,NaN,NaN,NaN,0.55933333333333335,0.1813394606807906,"[ 0.43333333  0.36        0.6         0.85        0.6         0.2         0.5
  0.65        0.75        0.65      ]"
1,UCLAsource,origW,origN,low250,var_threshold,minmax,SVC_250,NaN,NaN,NaN,0.53466666666666662,0.24856119300217938,"[ 0.86666667  0.8         0.48        0.45        0.15        0.45        0.75
  0.45        0.8         0.15      ]"
2,UCLAsource,origW,origN,low260,var_threshold,minmax,SVC_260,NaN,NaN,NaN,0.59133333333333338,0.24119701490690137,"[ 0.93333333  0.68        0.8         0.8         0.15        0.6         0.8
  0.4         0.4         0.35      ]"
3,UCLAsource,origW,origN,low263,var_threshold,minmax,SVC_263,NaN,NaN,NaN,0.41200000000000003,0.24858801258306884,[ 0.    0.6   0.52  0.5   0.    0.3   0.75  0.45  0.7   0.3 ]
